"","M","D","N69","N70","N71","N72","nday"
"1",1,1,305,"133",207,"150",1
"2",1,2,159,"195",225,"328",2
"3",1,3,251,"336",246,"42",3
"4",1,4,215,"99",264,"28",4
"5",1,5,101,"33",265,"338",5
"6",1,6,224,"285",242,"36",6
"7",1,7,306,"159",292,"111",7
"8",1,8,199,"116",287,"206",8
"9",1,9,194,"53",338,"197",9
"10",1,10,325,"101",231,"37",10
"11",1,11,329,"144",90,"174",11
"12",1,12,221,"152",228,"126",12
"13",1,13,318,"330",183,"298",13
"14",1,14,238,"71",285,"341",14
"15",1,15,17,"75",325,"221",15
"16",1,16,121,"136",74,"309",16
"17",1,17,235,"54",9,"231",17
"18",1,18,140,"185",51,"72",18
"19",1,19,58,"188",195,"303",19
"20",1,20,280,"211",310,"161",20
"21",1,21,186,"129",206,"99",21
"22",1,22,337,"132",108,"259",22
"23",1,23,118,"48",349,"258",23
"24",1,24,59,"177",337,"62",24
"25",1,25,52,"57",2,"243",25
"26",1,26,92,"140",114,"311",26
"27",1,27,355,"173",72,"110",27
"28",1,28,77,"346",357,"304",28
"29",1,29,349,"277",266,"283",29
"30",1,30,164,"112",268,"114",30
"31",1,31,211,"60",239,"240",31
"32",2,1,86,"335",306,"112",32
"33",2,2,144,"354",28,"278",33
"34",2,3,297,"186",250,"54",34
"35",2,4,210,"94",92,"68",35
"36",2,5,214,"97",233,"96",36
"37",2,6,347,"16",148,"271",37
"38",2,7,91,"25",304,"154",38
"39",2,8,181,"127",208,"347",39
"40",2,9,338,"187",130,"136",40
"41",2,10,216,"46",276,"361",41
"42",2,11,150,"227",351,"26",42
"43",2,12,68,"262",340,"195",43
"44",2,13,152,"13",118,"263",44
"45",2,14,4,"260",64,"348",45
"46",2,15,89,"201",214,"308",46
"47",2,16,212,"334",353,"227",47
"48",2,17,189,"345",198,"46",48
"49",2,18,292,"337",189,"11",49
"50",2,19,25,"331",210,"127",50
"51",2,20,302,"20",86,"106",51
"52",2,21,363,"213",15,"316",52
"53",2,22,290,"271",13,"20",53
"54",2,23,57,"351",116,"247",54
"55",2,24,236,"226",359,"261",55
"56",2,25,179,"325",335,"260",56
