"eDate","activityThatMinute"
"15-Aug","Balance"
"15-Aug","Balance"
"15-Aug","Balance"
"15-Aug","Balance"
"15-Aug","Balance"
"15-Aug","Balance"
"15-Aug","Balance"
"15-Aug","Balance"
"15-Aug","Balance"
"15-Aug","Balance"
"15-Aug","Aerobic"
"15-Aug","Aerobic"
"15-Aug","Aerobic"
"15-Aug","Aerobic"
"15-Aug","Aerobic"
"15-Aug","Aerobic"
"15-Aug","Aerobic"
"15-Aug","Strength"
"15-Aug","Strength"
"15-Aug","Strength"
"15-Aug","Strength"
"15-Aug","Strength"
"15-Aug","Strength"
"15-Aug","Strength"
"15-Aug","Strength"
"15-Aug","Strength"
"15-Aug","Strength"
"15-Aug","Yoga"
"15-Aug","Yoga"
"15-Aug","Yoga"
"15-Aug","Yoga"
"15-Aug","Yoga"
"15-Aug","Yoga"
"15-Aug","Yoga"
"15-Aug","Yoga"
"15-Aug","Yoga"
"15-Aug","Yoga"
"16-Aug","Balance"
"16-Aug","Balance"
"16-Aug","Balance"
"16-Aug","Balance"
"16-Aug","Balance"
"16-Aug","Aerobic"
"16-Aug","Aerobic"
"16-Aug","Aerobic"
"16-Aug","Aerobic"
"16-Aug","Aerobic"
"16-Aug","Aerobic"
"16-Aug","Strength"
"16-Aug","Strength"
"16-Aug","Strength"
"16-Aug","Strength"
"16-Aug","Strength"
"16-Aug","Strength"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"16-Aug","Yoga"
"17-Aug","Balance"
"17-Aug","Balance"
"17-Aug","Balance"
"17-Aug","Balance"
"17-Aug","Balance"
"17-Aug","Balance"
"17-Aug","Balance"
"17-Aug","Balance"
"17-Aug","Balance"
"17-Aug","Balance"
"17-Aug","Aerobic"
"17-Aug","Aerobic"
"17-Aug","Aerobic"
"17-Aug","Aerobic"
"17-Aug","Aerobic"
"17-Aug","Aerobic"
"17-Aug","Aerobic"
"17-Aug","Strength"
"17-Aug","Strength"
"17-Aug","Strength"
"17-Aug","Strength"
"17-Aug","Strength"
"17-Aug","Strength"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"17-Aug","Yoga"
"18-Aug","Balance"
"18-Aug","Balance"
"18-Aug","Balance"
"18-Aug","Balance"
"18-Aug","Balance"
"18-Aug","Aerobic"
"18-Aug","Aerobic"
"18-Aug","Aerobic"
"18-Aug","Aerobic"
"18-Aug","Aerobic"
"18-Aug","Aerobic"
"18-Aug","Strength"
"18-Aug","Strength"
"18-Aug","Strength"
"18-Aug","Strength"
"18-Aug","Strength"
"18-Aug","Strength"
"18-Aug","Strength"
"18-Aug","Yoga"
"18-Aug","Yoga"
"18-Aug","Yoga"
"18-Aug","Yoga"
"18-Aug","Yoga"
"18-Aug","Yoga"
"18-Aug","Yoga"
"18-Aug","Yoga"
"18-Aug","Yoga"
"18-Aug","Yoga"
"18-Aug","Yoga"
"18-Aug","Yoga"
"18-Aug","Yoga"
"19-Aug","Balance"
"19-Aug","Balance"
"19-Aug","Balance"
"19-Aug","Balance"
"19-Aug","Balance"
"19-Aug","Balance"
"19-Aug","Balance"
"19-Aug","Aerobic"
"19-Aug","Aerobic"
"19-Aug","Aerobic"
"19-Aug","Aerobic"
"19-Aug","Aerobic"
"19-Aug","Aerobic"
