Year,AmerTeam,NatlTeam,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Amer.hom,Amer.away,Natl.home,Natl.away
1922,NY Yankees,NY Giants,4,2,4,2,n/a,n/a,n/a,0.649,0.571,0.654,0.553
1923,NY Yankees,NY Giants,2,3,4,3,1,3,n/a,0.605,0.684,0.61,0.632
1924,Washington Senators,NY Giants,2,1,4,3,4,1,1,0.61,0.584,0.662,0.553
1925,Washington Senators,Pittsburg Pirates,3,4,1,1,2,4,4,0.707,0.566,0.675,0.566
1926,NY Yankees,St. Louis Cardinals,1,2,4,3,3,2,2,0.667,0.519,0.61,0.545
1927,NY Yankees,Pittsburg Pirates,3,3,1,1,n/a,n/a,n/a,0.75,0.679,0.608,0.613
1928,NY Yankees,St. Louis Cardinals,1,1,3,3,n/a,n/a,n/a,0.675,0.636,0.545,0.688
1929,Philadelphia A's,Chicago Cubs,3,3,2,1,1,n/a,n/a,0.781,0.61,0.675,0.613
1930,Philadelphia A's,St. Louis Cardinals,1,1,4,4,3,1,n/a,0.763,0.564,0.688,0.506
1931,Philadelphia A's,St. Louis Cardinals,3,4,2,1,2,3,4,0.8,0.61,0.692,0.618
1932,NY Yankees,Chicago Cubs,1,1,3,3,n/a,n/a,n/a,0.805,0.584,0.688,0.481
1933,Washington Senators,NY Giants,4,4,1,2,2,n/a,n/a,0.605,0.697,0.64,0.558
1934,Detroit Tigers,St. Louis Cardinals,2,1,4,3,3,2,2,0.675,0.635,0.623,0.618
1935,Detroit Tigers,Chicago Cubs,2,1,3,3,4,3,n/a,0.679,0.548,0.727,0.571
1936,NY Yankees,NY Giants,4,3,1,1,2,3,n/a,0.727,0.605,0.667,0.526
1937,NY Yankees,NY Giants,1,1,3,4,3,n/a,n/a,0.74,0.584,0.667,0.584
1938,NY Yankees,Chicago Cubs,3,3,1,1,n/a,n/a,n/a,0.714,0.587,0.571,0.6
1939,NY Yankees,Cincinnati Reds,1,1,3,3,n/a,n/a,n/a,0.675,0.73,0.688,0.568
1940,Detroit Tigers,Cincinnati Reds,3,4,1,2,1,4,4,0.633,0.533,0.724,0.584
1941,NY Yankees,Brooklyn Dodgers,1,2,3,3,3,n/a,n/a,0.662,0.649,0.675,0.623
1942,NY Yankees,St. Louis Cardinals,3,4,2,2,2,n/a,n/a,0.753,0.584,0.779,0.597
1943,NY Yankees,St. Louis Cardinals,1,2,1,3,3,n/a,n/a,0.701,0.571,0.734,0.627
1944,St. Louis Browns,St. Louis Cardinals,3,4,1,2,2,4,n/a,0.701,0.455,0.711,0.654
1945,Detroit Tigers,Chicago Cubs,2,1,2,3,3,4,3,0.658,0.494,0.653,0.62
1946,Boston Red Sox,St. Louis Cardinals,3,4,1,2,1,4,4,0.792,0.558,0.628,0.628
1947,NY Yankees,Brooklyn Dodgers,1,1,4,4,3,2,1,0.714,0.545,0.675,0.545
1948,Cleveland Indians,Boston Braves,4,3,1,1,2,3,n/a,0.615,0.636,0.592,0.597
1949,NY Yankees,Brooklyn Dodgers,1,2,3,3,3,n/a,n/a,0.701,0.558,0.623,0.636
1950,NY Yankees,Philadelphia Phillies,3,3,1,1,n/a,n/a,n/a,0.688,0.584,0.61,0.571
1951,NY Yankees,NY Giants,2,1,4,3,3,1,n/a,0.718,0.553,0.641,0.608
1952,NY Yankees,Brooklyn Dodgers,4,3,2,1,2,3,3,0.636,0.597,0.577,0.68
1953,NY Yankees,Brooklyn Dodgers,1,1,4,4,3,1,n/a,0.649,0.662,0.779,0.584
1954,Cleveland Indians,NY Giants,4,4,2,2,n/a,n/a,n/a,0.766,0.675,0.697,0.564
1955,NY Yankees,Brooklyn Dodgers,1,1,4,4,4,1,4,0.675,0.571,0.727,0.553
1956,NY Yankees,Brooklyn Dodgers,4,4,1,1,1,4,3,0.636,0.623,0.675,0.532
1957,NY Yankees,Milwaukee Braves,1,2,3,4,4,1,2,0.623,0.649,0.584,0.649
1958,NY Yankees,Milwaukee Braves,4,4,1,2,1,3,3,0.571,0.623,0.623,0.571
1959,Chicago White Sox,LA Dodgers,1,2,4,4,3,2,n/a,0.61,0.61,0.59,0.538
1960,NY Yankees,Pittsburg Pirates,4,3,1,2,2,3,4,0.714,0.545,0.675,0.558
1961,NY Yankees,Cincinnati Reds,1,2,3,3,3,n/a,n/a,0.802,0.543,0.61,0.597
1962,NY Yankees,San Francisco Giants,3,4,1,2,1,4,3,0.625,0.561,0.744,0.506
1963,NY Yankees,LA Dodgers,2,2,4,4,n/a,n/a,n/a,0.725,0.568,0.654,0.568
1964,NY Yankees,St. Louis Cardinals,4,3,1,2,2,3,4,0.617,0.605,0.593,0.556
1965,Minnesota Twins,LA Dodgers,1,1,4,4,4,1,2,0.63,0.63,0.617,0.58
1966,Baltimore Orioles,LA Dodgers,3,3,1,1,n/a,n/a,n/a,0.608,0.605,0.654,0.519
1967,Boston Red Sox,St. Louis Cardinals,2,1,4,4,3,1,2,0.605,0.531,0.605,0.65
1968,Detroit Tigers,St. Louis Cardinals,4,3,2,2,1,3,3,0.691,0.58,0.58,0.617
1969,Baltimore Orioles,NY Mets,1,2,4,4,4,n/a,n/a,0.741,0.605,0.634,0.6
1970,Baltimore Orioles,Cincinnati Reds,3,3,1,2,1,n/a,n/a,0.728,0.605,0.704,0.556
1971,Baltimore Orioles,Pittsburg Pirates,1,1,4,4,4,1,2,0.688,0.593,0.65,0.549
1972,Oakland A's,Cincinnati Reds,3,3,2,1,2,4,3,0.623,0.577,0.553,0.679
1973,Oakland A's,NY Mets,1,2,3,4,4,1,1,0.617,0.543,0.531,0.488
1974,Oakland A's,LA Dodgers,3,4,1,1,1,n/a,n/a,0.605,0.506,0.642,0.617
1975,Boston Red Sox,Cincinnati Reds,1,2,4,3,4,1,2,0.58,0.608,0.79,0.543
1976,NY Yankees,Cincinnati Reds,4,4,2,2,n/a,n/a,n/a,0.563,0.658,0.605,0.654
1977,NY Yankees,LA Dodgers,1,2,3,3,4,1,n/a,0.679,0.556,0.63,0.58
1978,NY Yankees,LA Dodgers,4,4,1,1,1,3,n/a,0.679,0.549,0.667,0.506
1979,Baltimore Orioles,Pittsburg Pirates,1,2,3,3,4,2,2,0.969,0.588,0.593,0.617
1980,Kansas City Royals,Philadelphia Phillies,4,4,1,1,2,4,n/a,0.605,0.593,0.605,0.519
1981,NY Yankees,LA Dodgers,1,1,4,4,4,2,n/a,0.627,0.482,0.589,0.556
1982,Milwaukee Brewers,St. Louis Cardinals,3,4,2,1,1,4,4,0.585,0.588,0.568,0.568
1983,Baltimore Orioles,Philadelphia Phillies,2,1,3,3,3,n/a,n/a,0.617,0.593,0.617,0.494
1984,Detroit Tigers,SD Padres,3,4,1,1,1,n/a,n/a,0.646,0.638,0.593,0.543
1985,Kansas City Royals,St. Louis Cardinals,2,2,3,4,3,1,1,0.61,0.513,0.667,0.58
1986,Boston Red Sox,NY Mets,3,3,2,2,1,4,4,0.63,0.55,0.679,0.654
1987,Minnesota Twins,St. Louis Cardinals,1,1,4,4,4,1,1,0.691,0.358,0.605,0.568
1988,Oakland A's,LA Dodgers,4,4,1,2,2,n/a,n/a,0.667,0.617,0.556,0.613
1989,Oakland A's,San Francisco Giants,1,1,3,3,n/a,n/a,n/a,0.667,0.556,0.654,0.481
1990,Oakland A's,Cincinnati Reds,4,4,2,2,n/a,n/a,n/a,0.63,0.642,0.568,0.556
1991,Minnesota Twins,Atlanta Braves,1,1,4,4,4,1,1,0.63,0.543,0.593,0.568
1992,Toronto Blue Jays,Atlanta Braves,4,3,1,1,2,3,n/a,0.654,0.531,0.63,0.58
